"Sludinājumi 
 
 
datums","Modelis","Gads","Tilp.","Nobrauk.","Cena","brand"
"Pārdodu ļoti labu Škodiņu ar 81kw veco sūkņa dīzeļa dzinēju, manā īpašumā ne","Octavia",2004,"1.9D",216000,1950,"Skoda"
"Škoda Octavia, 

No Francijas, Latvijā nav ekspluatēta. 
Ļoti labā tehnis","Octavia",2015,"1.6D",,8450,"Skoda"
"Skoda roomster
27.12.2012
245783 km
līdzi metāla diski ar labām riepām.","Roomster",2012,"1.6D",246000,6700,"Skoda"
"Škoda Superb 2.0 Tdi 150Zs Dsg, Cena ar Pvn;

Moller Auto Ventspils Piedāv","Superb",2015,"2.0D",139000,19000,"Skoda"
"Pārdod 2010.gada Škoda Fabia 1.4 Tdi Greenline . Nomainīts sajūgs un zobsiks","Fabia",2010,"1.4D",293000,3150,"Skoda"
"Pārdod Škoda Superb Limuzīna tipa auto ar automātisko ātrumkārbu un 2.0 dīze","Superb",2011,"2.0D",288000,7800,"Skoda"
"Pārdodu Skoda Superb 2003.g. Dinamiskais 110 kW 2, 5 litru dzinējs ir kluss","Superb",2003,"2.5D",357000,1520,"Skoda"
"Tikko iedzīts Latvijā - Auto ar Pvn , bez nobraukuma pa LV 
Labs, plašs, ie","Octavia",2016,"2.0D",,8650,"Skoda"
"Pārdod Skoda Roomster Scout 1, 9 Tdi , 77 kW .Ekonomisks, vienkāršs darba au","Roomster",2007,"1.9D",221000,3150,"Skoda"
"Pārdodu koptu a/m. Vidējais patēriņš 4-5 l/100km. Automašīna neprasa jaunus","Octavia",2010,"1.9D",247000,4300,"Skoda"
"Škoda Fabia 1.6 disel 55kW common rail dzinējs. Vienmēr visas TA iziet no pi","Fabia",2013,"1.6D",249000,3950,"Skoda"
"Skoda Kodiaq 2.0 Tdi (150 Zs) ar automātisko pārnesumkārbu. Cena ar Pvn.","Kodiaq",2018,"2.0D",116000,26150,"Skoda"
"Izpārdošanas cena. Škoda Yeti 2.0 Tdi 81kW Active (maksimālais aprīkojums)","Yeti",2017,"2.0D",144000,13900,"Skoda"
"Pārdodu Skoda Fabia Family 51kW 2011.
Carprof garantija 2 mēnešu vai 3000 k","Fabia",2011,"1.2",82000,5699,"Skoda"
"Skoda Roomster 1.9 Tdi

Automašīna no Nīderlandes, Latvijā nav ekspluatēta","Roomster",2007,"1.9D",256000,4550,"Skoda"
"Škoda Octavia 1.6Tdi Dsg Cena ar Pvn

Moller Auto Ventspils Piedāvā:
Elek","Octavia",2017,"1.6D",133000,14900,"Skoda"
"Uzņēmums pārdod Latvijā brauktu auto Skoda Yety
Auto tika iegādāts Latvijā","Yeti",2016,"2.0D",222000,11000,"Skoda"
"Skoda Octavia, tikko ievests
1.9 Tdi dīzelis (77Kw/105Zs)
Oriģināls nobrau","Octavia",2005,"1.9D",227000,2990,"Skoda"
"Auto braukšanas kārtībā. Viens saimnieks, pirkta jauna Latvijā un reģistrēta","Octavia",2008,"1.6",265000,6650,"Skoda"
"Maiņa, nomaksa. 
Pierādāms oriģināls nobraukums. Benzīns, 118kw. 

Bez de","Octavia",2012,"1.8",111000,6950,"Skoda"
"Tikko no Vācijas. 
Latvijā nav reģistrēta, nav ekspluatēta. Motors2, 0 dīze","Octavia",2006,"2.0D",249000,3050,"Skoda"
"Piedāvājam Škoda Karoq Ambition, 1.5Tsi benzīna dzinējs, 110Kw/150Zs. Automā","Karoq",2019,"1.5",104000,21790,"Skoda"
"Škoda Fabia 1.0 benzīna motors, mehāniskā ātrumkārba, combi virsbūve. 
Auto","Fabia",2017,"1.0",75000,8500,"Skoda"
"Продаётся ухоженная машина Fabia I Combi (6Y) - 1.4 16V (75 Hp) в хорошем со","Fabia",2005,"1.4",151000,2450,"Skoda"
"Tikko no Vācijas. Perfektā tehniskā un vizuālā stāvoklī. 
Vizuāli neviena s","Octavia",2015,"1.6D",,8750,"Skoda"
"Fabia 1.0 benzīns, jauna pirkta Latvijā 2016.gadā. 
Ļoti ekonomisks 60zs dz","Fabia",2016,"1.0",280000,3990,"Skoda"
"Продаю машину в хорошем техническом и визуальном состоянии, длинная база (Lo","Superb",2002,"2.5D",350000,1750,"Skoda"
"Pārdodu smuku Škodu Yeti 2012.g. , 1.4. benzīns, 90kw, ar 6 pakāpju mehānisk","Yeti",2012,"1.4",225000,6490,"Skoda"
"Labā teh. stāvoklī. Pārdodu vai mainu pret lētāku auto. Iespējams līzings.","Fabia",2009,"1.2",210000,2350,"Skoda"
"Продаю, авто в нормальном состоянии, вопросы по тел. , заводится едет без пр","Fabia",2004,"1.2",280000,700,"Skoda"
"Auto no Somijas. Firma pārdod Škoda Octavija ar 1, 6 Tdi dzinēju. Dsg automā","Octavia",2013,"1.6D",267000,8300,"Skoda"
"Škoda Octavia Combi (2015g) Sarkana met. 
- 2.0Tdi, 4x4, 150zs. 
- mehānis","Octavia",2015,"2.0D",218000,11500,"Skoda"
"1.0 Turbo Benzīns, 115zs, Automāts. 
Vidējais degvielas patēriņš 4, 6L/100K","Octavia",2019,"1.0",47000,16900,"Skoda"
"1.0 Turbo Benzīns, 115zs, Automāts. 
Vidējais degvielas patēriņš 4, 6L/100Km","Octavia",2019,"1.0",76000,15500,"Skoda"
"Pārdodas Škoda Octavia 1.6D(81kw)
Teicamā tehniskā stāvoklī
Pirkta Latvijā","Octavia",2017,"1.6D",53000,16800,"Skoda"
"Labdien. Tiek pārdots lielisks auto ar ļoti mazu nobraukumu. Pirkts jauns LV","Octavia",2006,"1.6",148000,2700,"Skoda"
"Škoda Superb Laurin & Klement 4x4 2.0 Tsi 206Kw  Dsg 6 

Aprīkojums: 

-","Superb",2016,"2.0",117000,22500,"Skoda"
"Pārdodu Škoda Octavia 2.0 Tdi 110 kW (150 Zs) ļoti labā tehniskā un vizuālā","Octavia",2013,"2.0D",189000,9950,"Skoda"
"Škoda Kodiaq, 1, 4 Benzīna Dzinējs, 110kw/150zs, automātiskā ātrumkārba, pir","Kodiaq",2017,"1.4",84000,26900,"Skoda"
"Škoda Octavia ar 1.6 litru dīzeļdzinēju un automātisko transmisiju. 
Prakti","Octavia",2012,"1.6D",,6150,"Skoda"
"Skoda Rapid, 1.6 dīzelis, 2014g. , 66 kW, 

Mehānika - 5 ātrumi. 

Aprīk","Rapid",2014,"1.6D",292000,5150,"Skoda"
"Pārdod Škoda Octavia, 2007.g. , 1.9 Tdi (77 kw), manuālā ātrumkārba, sakabes","Octavia",2007,"1.9D",,1300,"Skoda"
"Ru/lv Pārdodu Skoda Flisia 1.3 labā stāvoklī, nav sarūsējis, nav salauzts, o","Felicia",1999,"1.3",149000,1100,"Skoda"
"Škoda Octavia 1.6 Tdi (115 zs) ar manuālo kārbu 

Auto Laba stāvoklī ar ga","Octavia",2019,"1.6D",94000,15300,"Skoda"
"Škoda Octavia RS 2.0 (245 zs) ar automātisko ātrumkārbu

Auto ar pagarināt","Octavia",2021,"2.0",39000,35900,"Skoda"
"Skoda Fabia 1.6 dīzelis, manuāla ātrumkārba. 

Auto ideālā&nbsp ;tehnis","Fabia",2014,"1.6D",254000,3900,"Skoda"
"Skoda Fabia 1.6 dīzelis, manuāla ātrumkārba. 

Auto ideālā&nbsp ;tehnis","Fabia",2013,"1.6D",248000,4000,"Skoda"
"Skoda Fabia 1.6 dīzelis, manuāla ātrumkārba. 

Auto ideālā&nbsp ;tehnis","Fabia",2013,"1.6D",206000,4350,"Skoda"
"Skoda Fabia 1.6 dīzelis, manuāla ātrumkārba. 

Auto ideālā&nbsp ;tehnis","Fabia",2013,"1.6D",252000,3950,"Skoda"
"Škoda Yeti Montecarlo, tikko izieta jauna tehniskā apskate
1.8 benzīns (112","Yeti",2014,"1.8",98000,14590,"Skoda"
"Auto ir ievests no Beļģijas. Ļoti labā tehniskā un vizuālā stāvoklī. Pilna s","Octavia",2018,"1.6D",,13000,"Skoda"
"Skoda yeti
22, 12, 2013
1, 6 d

Vai meklējat uzticamu lietotu automašīnu","Yeti",2013,"1.6D",,7770,"Skoda"
"Škoda Kodiaq 2.0Tdi (150z/s) ar Dsg ātrumkārbu. Cena ar Pvn. 

Pārbaudīts","Kodiaq",2018,"2.0D",109000,27800,"Skoda"
"Pārdod Skoda Octavia Combi 1, 6 tdi, 2022.gadā atvests no Beļģijas Skoda dīl","Octavia",2017,"1.6D",158000,13490,"Skoda"
"Pārdodu savu uzticamo Škoda Superb 2.0 sportline, 140kw, 4x4, dīzelis. 
Pla","Superb",2018,"2.0D",193000,26000,"Skoda"
"Pārdodu uzticamu auto labā tehniskā stāvoklī ar labu komlektāciju sakarā ar","Octavia",2013,"2.0D",294000,9600,"Skoda"
"Škoda Octavia Vrs, 2.0 Tdi, 125 KW dzinējs, manuālā kārba, teicamā tehniskā","Octavia",2011,"2.0D",394000,5950,"Skoda"
"Skoda Fabia, 1.4 dīzelis, 2007g. , 51 kW

5 ātrumu mhānika, 
elektriski r","Fabia",2007,"1.4D",190000,2690,"Skoda"
"Pārdodu Skoda Kodiaq Ambition 4x4, 2017.gada novembris, 2, 0 dīzelis, 7 sēdv","Kodiaq",2017,"2.0D",140000,25500,"Skoda"
"Вся информация по дополнительному телефону","Fabia",2008,"1.9D",250000,2000,"Skoda"
"Auto darba kārtībā. Bez apskates.","Fabia",2006,"1.2",248000,300,"Skoda"
"Škoda Yeti (2015g) Sudraba met. 
- 2.0Tdi, 140zs. 
- mehāniskā ātrumkārba","Yeti",2015,"2.0D",250000,10300,"Skoda"
"Labdien. Tiek pārdots lielisks auto ar ļoti mazu nobraukumu. Csn nav cietis.","Octavia",2016,"1.8",45000,12500,"Skoda"
"Skoda Fabia 1.6 dīzelis, manuāla ātrumkārba. 

Auto ideālā&nbsp ;tehnis","Fabia",2013,"1.6D",231000,4250,"Skoda"
"Škoda Octavia. 2.0 Dīzelis. Mehānika. Jaunā TA līdz 07.11.2023. Labā tehnisk","Octavia",2011,"2.0D",,5590,"Skoda"
"Škoda Kamiq Ambition 1, 0 Tsi G-Tec Cng 66kW (90 zs) 6P. Mt. Cena ar Pvn 21%","Kamiq",2022,"1.0",10,22873,"Skoda"
"Škoda Octavia 1.6 Tdi (115 zs) ar automātisko pārnesumkārbu, Cena ar Pvn;

I","Octavia",2018,"1.6D",96000,16450,"Skoda"
"Pārdodu Skoda Octavia 1.8 Tsi 4x4 131Kw/180Zs. Komplektā vieglmetāla diski a","Octavia",2014,"1.8",228000,9490,"Skoda"
"Škoda Scala. 1.5 benzīns ar 6 pakāpju manuālo ātrumkārbu. (Cena ir norādīta","Scala",2020,"1.5",13000,17850,"Skoda"
"Škoda Octavia HB Ambition 1, 5 Tsi 110kW 6Mt.  Cena ar Pvn 21%.  

Ražotāj","Octavia",2020,"1.5",74000,20900,"Skoda"
"Škoda Octavia RS 2.0 tdi/135 kw

Panorāmas lūka
Webasto autonomā apsilde","Octavia",2014,"2.0D",2e+05,13500,"Skoda"
"Škoda Superb 2.0 Tdi 190zs Dsg Cena ar Pvn. 

Moller Auto Ventspils Piedāv","Superb",2018,"2.0D",140000,23900,"Skoda"
"Pirku jaunu. 
Esmu vienīgais īpašnieks. 
Visas apkopes veiktas pie škodas","Octavia",2017,"1.6D",150000,13900,"Skoda"
"Škoda Octavi 2016.gada. Pārbaudāms nobraukums. Servisa grāmatiņa. 2 Atslēgas","Octavia",2016,"1.8",217000,8600,"Skoda"
"Škoda Octavia 1, 6Tdi (115z/s) ar Dsg automātisko pārnesumkārbu. Cena ar Pvn","Octavia",2018,"1.6D",150000,17150,"Skoda"
"Tiek pārdota Škoda Fabia, 2008 gads, 1.2 benzīns. 

TA līdz 08/2023.

12","Fabia",2008,"1.2",128000,2500,"Skoda"
"Labdien, tirgojās Škoda Octavia 2014 1.4 benzīns. 

- Mašina tehniski teic","Octavia",2013,"1.4",186000,8000,"Skoda"
"Pārdodu Skoda Octavia 2.0Tdi / 103kw, Dīzelis manuāla kārba, 6ātrumi. 
Auto","Octavia",2004,"2.0D",380000,2100,"Skoda"
"Pārdodu auto ideāla stāvokli un ar 100% orģinālo nobraukumu. Ideālā tehniskā","Superb",2017,"1.8",115000,17900,"Skoda"
"Škoda Superb 4x4, 2.0 dīzelis, 140 kW (190 Zs), Dsg, melns salons, oriģināli","Superb",2018,"2.0D",190000,15000,"Skoda"
"Tikko no Vācijas, piereģistrēts un izieta jauna TA (līdz 17.11.2023). Latvij","Octavia",2005,"2.0D",270000,3550,"Skoda"
"Skoda Yeti 2011., 2.0Tdi, 81kW, новый аккумулятор, заменены масло и все филь","Yeti",2011,"2.0D",315000,4900,"Skoda"
"Pārdodu Škodu Octaviu -2010.gads 1.9.Tdi 105.zs. 
-Mehāniskā ātrumkārba, ļo","Octavia",2010,"1.9D",282000,4300,"Skoda"
"Škoda Octavia Combi Ambition 1.6 Tdi 85kW 5Mt.  

Aprīkojums:

- Led die","Octavia",2019,"1.6D",155000,16290,"Skoda"
"Škoda Superb 2.0Tdi 4x4 (190 zs) ar automātisko pārnesumkārbu, Cena ar Pvn;","Superb",2018,"2.0D",125000,24850,"Skoda"
"Pārdod auto, jauna TA, teicamā tehniskā stāvoklī. Visas apkopes pirms apskat","Octavia",2007,"1.9D",214000,3300,"Skoda"
"Tiek pārdota jauna, iepriekš nereģistrēta un nelietota automašīna Škoda Kodi","Kodiaq",2022,"2.0D",10,44900,"Skoda"
"Skoda Octavia 1.6 Tdi (115Zs) ar automātisko pārnesumkārbu. Cena ar Pvn.","Octavia",2018,"1.6D",110000,17350,"Skoda"
"Škoda Octavia Scout 4x4 Combi 2.0 110Kw 6M/t. 

Aprīkojums:

- Bi-Xenon","Octavia",2016,"2.0D",164000,16990,"Skoda"
"Tiek pārdota jauna, iepriekš nereģistrēta un nelietota automašīna Škoda Octa","Octavia",2022,"2.0D",10,27800,"Skoda"
"Tikko no Vācijas. 
142 000 km(viens saimnieks)
Auto kā no rūpnīcas. 
Ļoti","Fabia",2011,"1.6D",,3850,"Skoda"
"Škoda Karoq Elegance 1.6 Tdi 85kW 7Dsg, Led tuvās/tālās gaismas, Led aizmugu","Karoq",2018,"1.6D",173000,19000,"Skoda"
"Skoda Octavia Combi 1.6 Tdi Ambition. 

Ļoti labs tehniskais un vizuālais","Octavia",2013,"1.6D",225000,7700,"Skoda"
"Škoda Superb Combi Ambition 1, 5 Tsi 110kW 7-k. aut Dsg. Cena ar Pvn 21%.","Superb",2021,"1.5",28000,29990,"Skoda"
"Tikko izieta tehniskā apskate bez aizrādījumiem. Tiek apkalpota pie dīlera V","Superb",2008,"2.0D",282000,5900,"Skoda"
"Tiek pārdota jauna, iepriekš nereģistrēta un nelietota automašīna Škoda Kami","Kamiq",2022,"1.0",10,23100,"Skoda"
"Lielisks auto izcilā stāvoklī. Apkopes un remontrarbi veikti autorizētā serv","Superb",2017,"2.0D",197000,20700,"Skoda"
"Škoda Superb Combi Ambition 1, 4 Tsi 110kW 7-p. A/t Dsg. 

Aprīkojums: 
-","Superb",2016,"1.4",153000,15990,"Skoda"
"Pārdodu Skoda Octavia 1.4i 110kw. 
Laba komplektācija, elektriskie stikli,","Octavia",2017,"1.4",48000,12400,"Skoda"
"Škoda Scala Ambition 1, 0 Tsi 85kW 7-k. Dsg. Cena ar Pvn 21%. 

Komplektāc","Scala",2021,"1.0",27000,20990,"Skoda"
"1.6 Dīzelis, 115zs, Automāts. 
Vidējais degvielas patēriņš 4, 1L/100Km.","Scala",2020,"1.6D",61000,19500,"Skoda"
"Skoda Karoq Ambition 1.6 dīzelis, 7 pakāpju automāts. 
Auto ideālā tehniskā","Karoq",2019,"1.6D",81000,21800,"Skoda"
"Škoda Kodiaq, 2.0 benzīna dzinējs, 132kw/180zs, automātiskā ātrumkārba, a/m","Kodiaq",2017,"2.0",72000,26900,"Skoda"
"Škoda Superb, 2.0 dīzeļa dzinējs, 110kw/150zs, Mehāniskā Ātrumkārba. Tiks iz","Superb",2018,"2.0D",166000,18900,"Skoda"
"Škoda Octavia Vrs 2.0 Tdi 125 KW mašina savus zirgus nav pazaudejusi , brauc","Octavia",2006,"2.0D",331000,3690,"Skoda"
"Škoda Kodiaq Style, 1.5Tsi benzīna dzinējs, 150 Zs (110kw), Viens no augstāk","Kodiaq",2019,"1.5",9.5,28490,"Skoda"
"Автомобиль в очень хорошем состоянии. Никаких дополнительных вложений не тре","Octavia",2001,"1.6",228000,2100,"Skoda"
"Škoda Kamiq Monte Carlo, 1, 0 benzīna dzinējs, 85kw/115zs, mehāniskā ātrumkā","Kamiq",2020,"1.0",52000,22500,"Skoda"
"Škoda Scala Active 1, 0 Tsi 70kW. Cena ar Pvn 21 %. 

Ražotāja garantija 5","Scala",2022,"1.0",10,19010,"Skoda"
"Skoda Karoq 2.0 Tdi 4x4 (150 Zs) ar automātisko pārnesumkārbu. Cena ar Pvn.","Citi",2018,"2.0D",77000,25100,"Skoda"
"Pārdodu Škoda Praktik, 2-vietīgs kravas furgons, N1 kategorija, 2007. gads,","Praktik",2007,"1.4D",461000,2450,"Skoda"
"Skoda Citigo 1.0 MP 44 kW (60 Zs) 
Пробег 25.422 км. 
Только из Германии.","Citigo",2019,"1.0",,8990,"Skoda"
"Маленькая, но шустрая. 
Куплена в Германии, после 1 владельца. Только что п","ForFour",2015,"1.0",89000,7800,"Smart"
"Jauna TA. Facelift. Smart Fortwo Coupe. 0, 8Tdi(33Kw). 5 ātrumu automātiskā","ForTwo",2007,"0.8D",107000,2990,"Smart"
"Pārdodu Smart fortwo Tikko no Vacija. Pati atbraukusi no Minhenes. Derīga te","ForTwo",2006,"0.8D",202000,2450,"Smart"
"Tiek pārdots ļoti labā tehniskā un vizuālā stāvoklī Smart Fortwo. Ievests ti","ForTwo",2007,"0.7",137000,2900,"Smart"
"Augustā izieta skate","ForTwo",1999,"0.6",125000,680,"Smart"
"Из Германии по Латвии не ездил, чистый ухоженный салон, второй комплект колё","ForFour",2005,"1.3",,2700,"Smart"
"Ekonomisks un ņiprs auto. Jauni bemžu diski, jauns akumulators, jauns ģenera","ForTwo",2004,"0.8D",169000,2500,"Smart"
"Машина куплена в Италии и в данный момент находится в Италии , все техосмотр","ForFour",2016,"1.0",110000,14500,"Smart"
"Brabus Smart Fortwo Coupe. Pilnākā komplektācija. Jaudīgs, kopts, lolots aut","ForTwo",2012,"1.0",153000,8999,"Smart"
"Smart Fortwo Automats Tiko ievests, Laba tehniskā un vizuālā stāvoklī. akurā","ForTwo",2005,"0.8D",,2999,"Smart"
"Pārdodas Smart for two dīzelīs, ļoti ekonomisks ap 3, 5-4 l/100km bet diemžē","ForTwo",2007,"0.8D",155000,2000,"Smart"
"Smart Cabrio. 
Год назад ввезен из Германии. 
Отличная беспроблемная город","ForTwo",2001,"0.6",190000,1990,"Smart"
"Sēdies un brauc. Mazs ceļa nodoklis, ekonomisks. Var noparkoties mazās vietā","ForTwo",2011,"1.0",138000,4300,"Smart"
"Продам Смартик в хорошем состоянии. Все вопросы по второму номеру телефона","ForTwo",2000,"0.8D",159000,1700,"Smart"
"Prime versija. Čiptūnings - 110 PS. 
Reta komplektācija - manuālā ātrumkārb","ForTwo",2015,"0.9",106000,10900,"Smart"
"Smartiņs atvests no Vācijas. 
Nupat piereģistrēts un izieta TA
Jaudīgs 07","ForTwo",2005,"0.7",205000,1750,"Smart"
"Smart Forfour (bet piecvietīgs) 2004g. , 1.5 benzīns, 80kW vai 108Hp, manuāl","ForFour",2004,"1.5",220000,2400,"Smart"
"Продается автомашина только что из Германии. Расход 3.2-3.8 л. 100 км. Новая","ForTwo",2009,"0.8D",,3300,"Smart"
"Первая регистрация 09.05.2011 модель 2011 года

Оригинальный пробег, 
Sta","ForTwo",2011,"1.0",175000,5100,"Smart"
"Pārdodu lielisku (gan tehniski, gan vizuāli) un ļoti ekonomisku pilsētas aut","ForTwo",2009,"1.0",135000,4200,"Smart"
"Pats atdzinu no Vācijas, esmu pirmais īpašnieks Latvijā. 
Ļoti labā tehnisk","ForTwo",2010,"1.0",144000,4100,"Smart"
"Pārdodu Smart Fortwo 0.8Td 30Kw ar automātisko 6 ātrumi, bet var arī pārslēg","ForTwo",2006,"0.8D",164000,3150,"Smart"
"Viena, jauna( pierakstita)atslega . Latvijā reģistrēts: 04.06.2018
Īpašumā","ForTwo",2003,"0.7",107000,1300,"Smart"
"В богатой комплектации, в идеальном техническом и визуальном состоянии, ориг","ForTwo",2010,"0.8D",150000,5200,"Smart"
"Smart Fortwo coupe Micro Hybrid Drive 45 kW (61 Ps)
Из Германии. 
Возможен","ForTwo",2012,"1.0",,3590,"Smart"
"Pilnībā aprīkota kafijas automašīna ar pusautomātisko itāļu kafijas automātu","ForFour",2004,"1.5",142000,4999,"Smart"
"Машина покупалась в Риге, своевременно обслуживалась. Оба раза использовалас","Impreza",2008,"2.0",145000,5900,"Subaru"
"Subaru Forester Awd, 2.0d (108Kw / 147Zs) dīzelis. Oriģināls nobraukums 155","Forester",2017,"2.0D",,17900,"Subaru"
"Svaiga TA. 4x4. Sakābes āķis. Jūsu auto var būt kā daļa no samaksas. Palīdzē","Forester",2008,"2.0D",,4800,"Subaru"
"Subaru Impreza Wrx Sti, 2008. gada, 2.5 benzīns, 221 Kw (301 Hp)

- Pilnpi","Impreza",2008,"2.5",146000,19500,"Subaru"
"Субару брался под проект - зимнее/летнее мини ралли, но в связи с отьездом п","Impreza",2007,"2.5",177000,14499,"Subaru"
"Šodienas Piedāvājums. 
X2 Turbo imprezas par vienu cenu. 
Abas 155kw.","Impreza",1996,"2.0",250000,4500,"Subaru"
"Subaru Outback Summit

Pirmā reģistrācija : 06.08.2015
Motora tilpums : 2","OUTBACK",2015,"2.0D",164000,17500,"Subaru"
"Ļoti labs un maksimāli aprīkots Outback. Auto ir pilnībā bez rūsas, jo 2020.","OUTBACK",2010,"2.0D",198000,8500,"Subaru"
"Laiks gatavoties ziemai. 
Pārdošanā Subaru 2.0 bezturbo. Vizuāli labā stāvo","Impreza",1997,"2.0",294000,2700,"Subaru"
"Subaru 2.0 XT (177Kw), Subaru ar turbīnu, identiskus auto izmanto policijas","Forester",2014,"2.0",185000,14000,"Subaru"
"Tikko no Vācijas Subaru Outback 4x4 Symmetrical pilnpiedziņa ar ekonomisko 2","OUTBACK",2009,"2.0D",,4500,"Subaru"
"Diezgan negribīgi, bet tomēr. sliecos meklēt kādu labāku un izdarīgāku saimn","Impreza",1998,"2.0",3e+05,4555,"Subaru"
"Pārdod koptu un labu Subaru Legacy. 

Auto tika nomainīts motors, uzlikta","Legacy",2007,"2.0",255000,3700,"Subaru"
"2.0d Manuāls, apsildāmi sēdekļi, klimatkontrole, sakabes āķis, multistūre, l","Legacy",2010,"2.0D",304000,2990,"Subaru"
"Vizuāli un tehniski labs auto ar vidējo degvielas patēriņu 8-9l. Par nākamo","Impreza",2003,"2.0",321000,2500,"Subaru"
"Tikko Ievests, 2.0Tdi, 108kw, 4X4, kondicionieris, kruīza kontrole, borta da","Forester",2011,"2.0D",,5999,"Subaru"
"Subaru Impreza Wrx Sti. Teicamā stāvoklī. Kvalitatīva līmplēve (Oracal fir t","Impreza",2015,"2.5",101000,27900,"Subaru"
"Subaru, Outback, 2.5 benzīns, automāts, svaiga tehniskā apskate. 

Auto ap","OUTBACK",2008,"2.5",,3490,"Subaru"
"Tikko ievests no Vācijas Subaru Forester, jauna tehniskā apskate. Pilns atsl","Forester",2011,"2.0D",179000,5900,"Subaru"
"2.0D, 110kw, 4x4, Jauna T. A. , Nodokļi samaksāti, Latvijā pirkta jauna, nob","OUTBACK",2013,"2.0D",257000,9290,"Subaru"
"Subaru Forester XT Symmetrical Awd A/t. 2017. gada. 2, 0l benzīns, 177 Kw (2","Forester",2017,"2.0",137000,19500,"Subaru"
"XT Forester-110kw, 1995cm3, бензин, автомат, двигатель Fb20, Euro5, Сервисск","Forester",2014,"2.0",157000,13500,"Subaru"
"Pārdod Subaru Forester - sakarīgu 4x4 auto, kas ideāls darba zirgs LV ceļu a","Forester",2007,"2.0",210000,2950,"Subaru"
"Subaru Legacy Benzīna dzinējs-2.0 ar 150 Zs, 127 250 km, 6-pakāpju automātis","Legacy",2014,"2.0",128000,8900,"Subaru"
"Subaru Forester, ar jaunās paaudzes dīzeļdzinēju, 2.0/108 kW/ 147 Zs;
-Mehā","Forester",2011,"2.0D",246000,4000,"Subaru"
"Pārdodu subaru impreza. Ir vēlviens rezerves daļām. Sīkāk rakstat whatsapp v","Impreza",1995,"1.6",281000,1300,"Subaru"
"Pārdod harizmātisku pilnpiedziņas Subaru XV 2.0D 4x4, ekonomisks un dinamisk","XV",2012,"2.0D",155000,8700,"Subaru"
"Машина только после обслуживания, новые фильтра , масла , задние колодки , т","Legacy",2005,"3.0",246000,3500,"Subaru"
"XT Forester Turbo benzīns 177kw jaudu, 122tk km nobraukums, Pirkts un apkopt","Forester",2017,"2.0",123000,22000,"Subaru"
"Subaru Outback Touring новая модель в самой полной комплектации. Harman/kard","OUTBACK",2021,"2.5",8.5,39900,"Subaru"
"2006. gada 2.0 benzīns/gāze 116 KW 4. paaudzes gāzes iekārta, veiktas visas","Forester",2006,"2.0",241000,3000,"Subaru"
"Pardod Subaru Outback 2.5 benzīns, automātiskā kārba, tikko izieta tehniskā","OUTBACK",2005,"2.5",235000,3500,"Subaru"
"Auto labā tehniskā un vizuālā kārtībā","Impreza",2009,"2.0D",279000,3950,"Subaru"
"Bagāta komplektācija. 1 saimnieks Latvijā. 118000km nobraukums. Palīdzēšu no","Legacy",2014,"3.3",,14900,"Subaru"
"Tiek pārdots uzticams ģimenes auto. Jo ir iegādāts jauns ģimenes auto. Autom","OUTBACK",2012,"2.0D",316000,6000,"Subaru"
"Pārdod labu Subaru Impreza ar mazu nobraukumu. Lieliska automašīna ar patstā","Impreza",2017,"2.0",80000,12500,"Subaru"
"Gibrid + Plug in ( 50 km Elektrik) 
Новая резина на литых дисках
Машина об","XV",2019,"2.0H",10000,31500,"Subaru"
"Продаю автомобиль в хорошем техническом состоянии. Очень экономичную и надёж","Legacy",2011,"2.0",190000,5700,"Subaru"
"Ar motora defektu. Sīkāk pa telefonu. 
Zvanīt uz otru numuru.","Forester",2010,"2.0D",252000,1550,"Subaru"
"Pārdod Subaru Forester, 2017 gads. Iegādāta Latvijā pie dīlera. Ļoti labā te","Forester",2017,"2.0D",63000,19000,"Subaru"
"Auto aktīviem cilvēkiem, kuriem patīk pārbaudītas vērtības. 

Pārdodu tiko","Forester",2012,"2.0D",177000,6900,"Subaru"
"Dzinēja defekts. Atrodas Livanos.","Forester",2008,"2.0D",220000,1400,"Subaru"
"Subaru Legacy
Automāts 
2.0 (121kw) 
TA līdz 17.08.2023.

''brc'' gāzes","Legacy",2006,"2.0",392000,2000,"Subaru"
"Subaru Forester, 2.0 dīzelis, 2013.gads 

Pirkts jauns pie dīlera AD Rem A","Forester",2013,"2.0D",,7350,"Subaru"
"4x4, Svaigi izieta TA bez aizrādījumiem. 
 Vienīgā īpašniece pārdod labi uz","Legacy",2005,"2.5",230000,3499,"Subaru"
"Subaru XV 2.0 E-Boxer hibrīddzinējs, tikai 25000Euro
- Jauda 150 Zs (110 kW","XV",2020,"2.0H",36000,25000,"Subaru"
"XT versija - pati jaudīgākā. Automāts, 2.0 benzīns 177kw. Auto pirkts jauns","Forester",2013,"2.0",225000,11700,"Subaru"
"Pārdodu Subaru Outback , pilnākā komplektācijā jaunu iegādātu Lv, Koptu, Apk","OUTBACK",2016,"2.5",94000,19900,"Subaru"
"Outback Awd 2.0d- S, aut. Sport Premium Line
Pilna servisa vesture tikai pi","OUTBACK",2017,"2.0D",139000,18990,"Subaru"
"Subaru Outback, 2.0D, Premium, Awd, Manuālis, 110Kw. TA 09.2023. 

Nodokli","OUTBACK",2010,"2.0D",,4990,"Subaru"
